,Unnamed: 0,brand,name,attribute,product_url,search_name,price,capacity,keyword,keyword_scent,new_name,search_name_1,1st_similar_perfume,2nd_similar_perfume,3rd_similar_perfume,4th_similar_perfume,5th_similar_perfume
233,,SWG컬렉션,파인보일,"일렁이는 바다 위로 드리워진 파란 소나무와 만다린의 산뜻함, 휴양지의 향기",/product/swg컬렉션-파인보일-50ml/2399/category/568/display/1/,SWG컬렉션 파인보일,98000,50,"바다,푸른,소나무,만다린,휴양지","바다,푸른,소나무,만다린",파인보일,SWG컬렉션 파인보일,SWG컬렉션 오드더티,,,,
234,,SWG컬렉션,오드더티,"푸릇한 소나무와 파츌리가 가볍고 또 시원하게, 여름에도 뿌리기 좋은 청량함",/product/swg컬렉션-오드더티-50ml/2398/category/568/display/1/,SWG컬렉션 오드더티,98000,50,"푸른,소나무,파츌리,여름","푸른,소나무,파츌리,여름",오드더티,SWG컬렉션 오드더티,SWG컬렉션 파인보일,,톰포드 비터피치,,
236,,SWG컬렉션,로제가즘,"에펠탑이 보이는 마르스 광장, 바람을 타고 날아오는 장미와 라즈베리의 낭만",/product/swg컬렉션-로제가즘-50ml/2395/category/568/display/1/,SWG컬렉션 로제가즘,98000,50,"파리,에펠탑,마르스광장,바람,로즈,라즈베리,낭만","바람,로즈,라즈베리",로제가즘,SWG컬렉션 로제가즘,런던프로소디 트레비로즈오드코롱,딥디크 오로즈,조말론 로즈앤매그놀리아코롱,프레데릭말 포트레이트오브어레이디,프라고나르 로즈드메이
239,,세르주루텐,튜베로즈크리미넬오드퍼퓸,"달빛처럼 유려하게 흐르는 곡선, 튜베로즈의 본질에 가장 가깝게 마주한 순연의 향기",/product/세르주루텐-튜베로즈-크리미넬-오-드-퍼퓸/2304/category/568/display/1/,세르주루텐 튜베로즈크리미넬오드퍼퓸,465000,100,"달빛,유려,곡선,튜베로즈,순연","달빛,튜베로즈",튜베로즈크리미넬,세르주루텐 튜베로즈크리미넬,알타이아 튜베로즈인블루,,,프레데릭말 카날플라워,크리드 플러리시모
240,,산타마리아노벨라,아쿠아디콜로니아로사오드코롱,"가지런한 눈꽃 위로 똑 부러지듯 아름다운 선율의 다마스커스 로즈, 차분한 고급스러움",/product/산타마리아-노벨라-아쿠아-디-콜로니아-로사-오-드-코롱-100ml/2280/category/568/display/1/,산타마리아노벨라 아쿠아디콜로니아로사오드코롱,180000,100,"눈꽃,선율,다마스커스,로즈","눈꽃,다마스커스,로즈",아쿠아디콜로니아로사오드코롱,산타마리아노벨라 아쿠아디콜로니아로사오드코롱,딥디크 오로즈,프라고나르 로즈드메이,,나소마토 실버머스크엑스트레퍼퓸,끌로에 로즈드끌로에
241,,프라고나르,디아망,"수수한 자스민과 관능의 바닐라 크림, 그 사이 간극을 채우는 달콤한 매력의 향기",/product/프라고나르-디아망-305060ml/2252/category/568/display/1/,프라고나르 디아망,100000,30,"자스민,관능,바닐라,달콤","자스민,바닐라,달콤",디아망,프라고나르 디아망,프라다 패러독스,메모 그라나다,,아이젠버그 조즈옴므,
243,,런던프로소디,무아레미모사오드코롱,"연둣빛 달콤함이 미모사에 닿아, 자연에서 느낄 수 있는 가장 편안한 상큼함을 피워내는 향기",/product/프로소디-런던-무아레-미모사-오-드-코롱-30ml/2229/category/568/display/1/,런던프로소디 무아레미모사오드코롱,83000,10,"연두빛,미모사,자연,상큼","연두빛,미모사,자연,상큼",무아레미모사오드코롱,런던프로소디 무아레미모사오드코롱,런던프로소디 리솜린든,,아틀리에 코롱클레망틴캘리포니아,프라다 레스인퓨전디미모사,트루사르디 돈나
244,,런던프로소디,피치카토블리스오드코롱,"넓은 초원을 맨발로 내달리는 용기, 풀의 시원한 쌉싸름함에 다시금 힘을 얻게 되는 순간",/product/프로소디-런던-피치카토-블리스-오-드-코롱-30ml/2227/category/568/display/1/,런던프로소디 피치카토블리스오드코롱,83000,10,"초원,맨발,용기",초원,피치카토블리스오드코롱,런던프로소디 피치카토블리스오드코롱,딥디크 제라늄오도라타,,메모 아프리칸레더,,
245,,런던프로소디,베리블릿츠오드코롱,"갓 딴 베리와 오렌지 마멀레이드, 모두를 식탁으로 불러모으는 신선한 상큼함",/product/프로소디-런던-베리-블릿츠-오-드-코롱-30ml/2226/category/568/display/1/,런던프로소디 베리블릿츠오드코롱,83000,10,"베리,오렌지마말레이드,식탁,상큼","베리,오렌지마말레이드,상큼",베리블릿츠오드코롱,런던프로소디 베리블릿츠오드코롱,알마프 클럽드뉘인텐스,아틀리에 코롱클레망틴캘리포니아,트루사르디 돈나,메종프란시스커정 아쿠아유니버셜,
246,,런던프로소디,트레비로즈오드코롱,라즈베리 과즙을 먹고 자라나 더욱 붉어진 장미가 연출하는 고혹스러운 향기,/product/프로소디-런던-트레비-로즈-오-드-코롱-30ml/2223/category/568/display/1/,런던프로소디 트레비로즈오드코롱,83000,10,"라즈베리,과즙,로즈","라즈베리,과즙,로즈",트레비로즈오드코롱,런던프로소디 트레비로즈오드코롱,딥디크 오로즈,프레데릭말 포트레이트오브어레이디,프라고나르 로즈드메이,,
247,,런던프로소디,리솜린든오드퍼퓸,호수에 뛰어든 멜론의 달콤함이 연두빛 물안개를 피워내는 상큼함,/product/프로소디-런던-리솜-린든-오-드-퍼퓸-50ml/2215/category/568/display/1/,런던프로소디 리솜린든오드퍼퓸,158000,10,"호수,멜론,달콤,연두빛,안개,상큼","호수,멜론,달콤,연두빛,안개,상큼",리솜린든,런던프로소디 리솜린든,아이젠버그 조즈옴므,,,,아틀리에 코롱클레망틴캘리포니아
248,,런던프로소디,랜턴리드오드퍼퓸,손 안의 작은 랜턴 불의 열기가 베티버 기둥에 닿아 따스한 온기를 느끼게 하는 자연의 향기,/product/프로소디-런던-랜턴-리드-오-드-퍼퓸-50ml/2214/category/568/display/1/,런던프로소디 랜턴리드오드퍼퓸,158000,10,"랜턴,불,열기,베티버,온기,자연","불,열기,베티버,온기,자연",랜턴리드,런던프로소디 랜턴리드,딥디크 베티베리오,,크리드 오리지널베티버,프레데릭말 베티버엑스트라오디네르,
249,,런던프로소디,히아신스존퀼오드퍼퓸,"햇살이 비추는 자리, 하얀 치마 폭에 담은 히아신스가 따뜻하게 물드는 여운의 향기",/product/프로소디-런던-히아신스-존퀼-오-드-퍼퓸-50ml/2213/category/568/display/1/,런던프로소디 히아신스존퀼오드퍼퓸,158000,50,"햇살,치마,히아신스,여운","햇살,히아신스",히아신스존퀼,런던프로소디 히아신스존퀼,샤보 에뜨왈드룬,,메모 일하도멜,분더샵 에버얼웨이즈,
250,,런던프로소디,로즈론듀오드퍼퓸,버건디 로즈 그리고 블랙커런트와 제라늄의 쌉싸름한 달콤함을 씹어낸 신선한 아성,/product/프로소디-런던-로즈-론듀-오-드-퍼퓸-50ml/2212/category/568/display/1/,런던프로소디 로즈론듀오드퍼퓸,158000,50,"버건디,로즈,블랙커런트,제라늄,아성","버건디,로즈,블랙커런트,제라늄,아성",로즈론듀,런던프로소디 로즈론듀,스테파니브루진 큐피동,프라고나르 로즈드메이,딥디크 오로즈,,끌로에 로즈드끌로에
251,,런던프로소디,우드옥타브오드퍼퓸,"파피루스 나무 사이를 헤쳐 나갈 때, 옷깃에 배인 나무 내음이 문득 편안해지던 순간",/product/프로소디-런던-우드-옥타브-오-드-퍼퓸-50ml/2211/category/568/display/1/,런던프로소디 우드옥타브오드퍼퓸,158000,10,"파피루스,나무,옷깃","파피루스,나무",우드옥타브,런던프로소디 우드옥타브,누NOU 올리반,,본드 넘버나인차이나타운,,
253,,스테파니브루진,마이젠틀맨오드퍼퓸,철보다 단단한 심장을 가진 남자의 아로마틱 - 푸제르 계열 스킨내음,/product/스테파니-브루진-마이-젠틀맨-오-드-퍼퓸-100ml/2194/category/568/display/1/,스테파니브루진 마이젠틀맨오드퍼퓸,250000,100,"남성,아로마,푸제르,스킨","아로마,푸제르,스킨",마이젠틀맨,스테파니브루진 마이젠틀맨,크리드 어벤투스코롱,장폴고티에 르보,,랄프로렌 폴로블루맨,퍼퓸드말리 페가수스
254,,세르주루텐,플뢰르도랑제오드퍼퓸,무르익은 튜베로즈 꽃망울이 터지며 달콤한 허니 디저트 위로 사뿐히 내려앉는 섬세함,/product/세르주루텐-플뢰르-도랑제-오-드-퍼퓸/2181/category/568/display/1/,세르주루텐 플뢰르도랑제오드퍼퓸,205000,50,"튜베로즈,꽃망울,허니,디저트","튜베로즈,꽃망울,허니,디저트",플뢰르도랑제,세르주루텐 플뢰르도랑제,프레데릭말 카날플라워,조르지오 아르마니마이웨이,구찌 블룸,크리드 플러리시모,
